Demographic,subgroup,data_type,Year,Number
Not Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2008,550
Not Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2009,443
Not Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2010,448
Not Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2011,502
Not Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2012,506
Not Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2013,645
Not Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2014,725
Not Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2015,755
Not Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2016,827
Not Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2017,868
Not Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2018,882
White,Race/Ethnicity,Treatment_for_MDES,2006,432
White,Race/Ethnicity,Treatment_for_MDES,2007,439
White,Race/Ethnicity,Treatment_for_MDES,2008,461
White,Race/Ethnicity,Treatment_for_MDES,2009,352
White,Race/Ethnicity,Treatment_for_MDES,2010,380
White,Race/Ethnicity,Treatment_for_MDES,2011,379
White,Race/Ethnicity,Treatment_for_MDES,2012,403
White,Race/Ethnicity,Treatment_for_MDES,2013,504
White,Race/Ethnicity,Treatment_for_MDES,2014,572
White,Race/Ethnicity,Treatment_for_MDES,2015,563
White,Race/Ethnicity,Treatment_for_MDES,2016,668
White,Race/Ethnicity,Treatment_for_MDES,2017,679
White,Race/Ethnicity,Treatment_for_MDES,2018,695
Black or African American,Race/Ethnicity,Treatment_for_MDES,2006,53
Black or African American,Race/Ethnicity,Treatment_for_MDES,2007,72
Black or African American,Race/Ethnicity,Treatment_for_MDES,2008,65
Black or African American,Race/Ethnicity,Treatment_for_MDES,2009,58
Black or African American,Race/Ethnicity,Treatment_for_MDES,2010,42
Black or African American,Race/Ethnicity,Treatment_for_MDES,2011,82
Black or African American,Race/Ethnicity,Treatment_for_MDES,2012,56
Black or African American,Race/Ethnicity,Treatment_for_MDES,2013,72
Black or African American,Race/Ethnicity,Treatment_for_MDES,2014,99
Black or African American,Race/Ethnicity,Treatment_for_MDES,2015,97
Black or African American,Race/Ethnicity,Treatment_for_MDES,2016,71
Black or African American,Race/Ethnicity,Treatment_for_MDES,2017,97
Black or African American,Race/Ethnicity,Treatment_for_MDES,2018,90
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2006,92
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2007,67
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2008,72
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2009,99
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2010,106
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2011,100
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2012,127
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2013,187
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2014,158
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2015,190
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2016,174
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2017,206
Hispanic or Latino,Race/Ethnicity,Treatment_for_MDES,2018,251
